Quarter,Region,Country,Revenue_USD,Target_USD,Attainment_Pct,Deals_Closed,Avg_Deal_Size,Pipeline_USD,Churn_Rate_Pct
Q1 2024,APAC,Japan,2850000,3200000,89.1,34,83824,9200000,4.2
Q1 2024,APAC,Singapore,1420000,1500000,94.7,18,78889,4100000,3.8
Q1 2024,APAC,Australia,1780000,1800000,98.9,22,80909,5200000,2.9
Q1 2024,APAC,India,980000,1200000,81.7,28,35000,3800000,6.1
Q1 2024,APAC,South Korea,760000,900000,84.4,15,50667,2600000,5.4
Q1 2024,EMEA,UK,3200000,3000000,106.7,38,84211,8900000,2.1
Q1 2024,EMEA,Germany,2750000,2800000,98.2,31,88710,7400000,1.8
Q1 2024,EMEA,France,1620000,1700000,95.3,24,67500,4800000,3.2
Q1 2024,EMEA,UAE,1180000,1100000,107.3,16,73750,3200000,2.7
Q1 2024,EMEA,Netherlands,890000,950000,93.7,13,68462,2700000,3.5
Q1 2024,NAMER,USA-East,5600000,5500000,101.8,64,87500,14200000,1.6
Q1 2024,NAMER,USA-West,4800000,5000000,96.0,55,87273,12800000,1.9
Q1 2024,NAMER,Canada,1350000,1400000,96.4,18,75000,3900000,2.4
Q1 2024,LATAM,Brazil,680000,800000,85.0,22,30909,2400000,7.8
Q1 2024,LATAM,Mexico,520000,600000,86.7,18,28889,1900000,8.2
Q2 2024,APAC,Japan,2650000,3200000,82.8,30,88333,9500000,5.1
Q2 2024,APAC,Singapore,1580000,1500000,105.3,21,75238,4300000,3.2
Q2 2024,APAC,Australia,1920000,1800000,106.7,24,80000,5600000,2.6
Q2 2024,APAC,India,850000,1200000,70.8,25,34000,4200000,7.4
Q2 2024,APAC,South Korea,690000,900000,76.7,13,53077,2800000,6.8
Q2 2024,EMEA,UK,3050000,3000000,101.7,36,84722,9100000,2.3
Q2 2024,EMEA,Germany,2900000,2800000,103.6,34,85294,7800000,1.6
Q2 2024,EMEA,France,1480000,1700000,87.1,22,67273,5100000,3.8
Q2 2024,EMEA,UAE,1280000,1100000,116.4,18,71111,3500000,2.2
Q2 2024,EMEA,Netherlands,820000,950000,86.3,12,68333,2900000,4.1
Q2 2024,NAMER,USA-East,5900000,5500000,107.3,67,88060,15100000,1.4
Q2 2024,NAMER,USA-West,5100000,5000000,102.0,58,87931,13200000,1.7
Q2 2024,NAMER,Canada,1280000,1400000,91.4,17,75294,4100000,2.8
Q2 2024,LATAM,Brazil,590000,800000,73.8,19,31053,2600000,9.2
Q2 2024,LATAM,Mexico,480000,600000,80.0,16,30000,2100000,9.8
Q3 2024,APAC,Japan,2420000,3200000,75.6,27,89630,9800000,6.3
Q3 2024,APAC,Singapore,1690000,1500000,112.7,22,76818,4600000,2.8
Q3 2024,APAC,Australia,2050000,1800000,113.9,26,78846,5900000,2.2
Q3 2024,APAC,India,780000,1200000,65.0,23,33913,4500000,8.9
Q3 2024,APAC,South Korea,610000,900000,67.8,11,55455,3100000,8.1
Q3 2024,EMEA,UK,3380000,3000000,112.7,40,84500,9400000,1.9
Q3 2024,EMEA,Germany,3100000,2800000,110.7,36,86111,8100000,1.4
Q3 2024,EMEA,France,1540000,1700000,90.6,23,66957,5300000,3.5
Q3 2024,EMEA,UAE,1390000,1100000,126.4,19,73158,3700000,1.8
Q3 2024,EMEA,Netherlands,870000,950000,91.6,13,66923,3100000,3.7
Q3 2024,NAMER,USA-East,6100000,5500000,110.9,70,87143,15800000,1.3
Q3 2024,NAMER,USA-West,5350000,5000000,107.0,61,87705,13900000,1.5
Q3 2024,NAMER,Canada,1420000,1400000,101.4,19,74737,4400000,2.2
Q3 2024,LATAM,Brazil,640000,800000,80.0,21,30476,2800000,8.5
Q3 2024,LATAM,Mexico,510000,600000,85.0,17,30000,2200000,9.1
Q4 2024,APAC,Japan,2180000,3200000,68.1,24,90833,10200000,7.8
Q4 2024,APAC,Singapore,1820000,1500000,121.3,24,75833,4900000,2.4
Q4 2024,APAC,Australia,2200000,1800000,122.2,28,78571,6200000,1.9
Q4 2024,APAC,India,720000,1200000,60.0,21,34286,4800000,10.2
Q4 2024,APAC,South Korea,570000,900000,63.3,10,57000,3300000,9.4
Q4 2024,EMEA,UK,3580000,3000000,119.3,42,85238,9800000,1.7
Q4 2024,EMEA,Germany,3280000,2800000,117.1,38,86316,8500000,1.2
Q4 2024,EMEA,France,1680000,1700000,98.8,25,67200,5600000,3.1
Q4 2024,EMEA,UAE,1520000,1100000,138.2,21,72381,3900000,1.5
Q4 2024,EMEA,Netherlands,940000,950000,98.9,14,67143,3300000,3.2
Q4 2024,NAMER,USA-East,6500000,5500000,118.2,74,87838,16400000,1.1
Q4 2024,NAMER,USA-West,5700000,5000000,114.0,65,87692,14600000,1.3
Q4 2024,NAMER,Canada,1550000,1400000,110.7,21,73810,4700000,1.9
Q4 2024,LATAM,Brazil,710000,800000,88.8,23,30870,3000000,7.9
Q4 2024,LATAM,Mexico,580000,600000,96.7,19,30526,2400000,8.6
